,report_date,unique_id,quantity,average_unit_cost,market_rate,symbol_name,fund_id,instrument_type,symbol_code,expiry_date
0,2022-07-04,,6800.0,702.86259627375,702.55,Aarti Industries - 28/07/2022,TB1,FUTURES,AARTIIND,28-Jul-2022
1,2022-07-04,,32500.0,679.295295219,680.5,Adani Ports and Special Economic Zone Ltd - 28/07/2022,TB1,FUTURES,ADANIPORTS,28-Jul-2022
2,2022-07-04,,20800.0,237.3480852525,249.25,Aditya Birla Fashion and Retail Ltd - 28/07/2022,TB1,FUTURES,ABFRL,28-Jul-2022
3,2022-07-04,,6625.0,3789.318249788059,3785.65,Apollo Hospitals Enterprise - 28/07/2022,TB1,FUTURES,APOLLOHOSP,28-Jul-2022
4,2022-07-04,,157500.0,183.999317114667,189.5,Apollo Tyres - 28/07/2022,TB1,FUTURES,APOLLOTYRE,28-Jul-2022
5,2022-07-04,,23200.0,2710.877593460507,2802.55,Asian Paints Ltd - 28/07/2022,TB1,FUTURES,ASIANPAINT,28-Jul-2022
6,2022-07-04,,19625.0,5488.633819067044,5649.5,Bajaj Finance Ltd - 28/07/2022,TB1,FUTURES,BAJFINANCE,28-Jul-2022
7,2022-07-04,,16500.0,570.565446084,585.3,Berger Paints India Ltd - 28/07/2022,TB1,FUTURES,BERGEPAINT,28-Jul-2022
8,2022-07-04,,16500.0,570.565446084,585.3,Berger Paints India Ltd - 28/07/2022,TB1,FUTURES,BERGEPAINT,25-Aug-2022
9,2022-07-04,,30000.0,636.410049289,634.55,Bharat Forge Ltd - 28/07/2022,TB1,FUTURES,BHARATFORG,28-Jul-2022
10,2022-07-04,,154850.0,686.093245452883,681.75,Bharti Airtel Ltd - 28/07/2022,TB1,FUTURES,BHARTIARTL,28-Jul-2022
11,2022-07-04,,170200.0,311.626060064594,312.65,Biocon Ltd - 28/07/2022,TB1,FUTURES,BIOCON,28-Jul-2022
12,2022-07-04,,7600.0,3465.742355913139,3703.9,Britannia Industries Ltd - 28/07/2022,TB1,FUTURES,BRITANNIA,28-Jul-2022
13,2022-07-04,,78300.0,183.094372541379,189.1,Canara Bank - 28/07/2022,TB1,FUTURES,CANBK,28-Jul-2022
14,2022-07-04,,134400.0,184.729667147143,182.4,Coal India Ltd - 28/07/2022,TB1,FUTURES,COALINDIA,28-Jul-2022
15,2022-07-04,,8100.0,3625.567248643334,3647.15,Divis Laboratories Ltd - 28/07/2022,TB1,FUTURES,DIVISLAB,28-Jul-2022
16,2022-07-04,,2500.0,2089.958207979,2126.15,Dr. Lal Pathlabs Ltd - 28/07/2022,TB1,FUTURES,LALPATHLAB,28-Jul-2022
17,2022-07-04,,29575.0,1208.65829936044,1240.9,Godrej Properties Ltd - 28/07/2022,TB1,FUTURES,GODREJPROP,28-Jul-2022
18,2022-07-04,,132500.0,216.70966482,222.7,Gujarat State Petronet Ltd - 28/07/2022,TB1,FUTURES,GSPL,28-Jul-2022
19,2022-07-04,,271700.0,1351.030690543859,1359.9,HDFC Bank Ltd - 28/07/2022,TB1,FUTURES,HDFCBANK,28-Jul-2022
20,2022-07-04,,59400.0,549.965268097778,575.9,HDFC Life Insurance Company Limited - 28/07/2022,TB1,FUTURES,HDFCLIFE,28-Jul-2022
21,2022-07-04,,8100.0,2696.897741063661,2730.95,Hero MotoCorp Limited - 28/07/2022,TB1,FUTURES,HEROMOTOCO,28-Jul-2022
22,2022-07-04,,54900.0,2247.918601400538,2377.2,Hindustan Unilever Ltd - 28/07/2022,TB1,FUTURES,HINDUNILVR,28-Jul-2022
23,2022-07-04,,1200.0,2183.6432194775,2219.05,Housing Development Finance Corp Ltd - 28/07/2022,TB1,FUTURES,HDFC,28-Jul-2022
24,2022-07-04,,27625.0,1124.361682756153,1160.8,ICICI Lombard General Insurance Company Ltd - 28/07/2022,TB1,FUTURES,ICICIGI,28-Jul-2022
25,2022-07-04,,255000.0,31.445520054706,34.2,IDFC First Bank Ltd - 28/07/2022,TB1,FUTURES,IDFCFIRSTB,28-Jul-2022
26,2022-07-04,,560000.0,273.466250104865,291.05,ITC Ltd - 28/07/2022,TB1,FUTURES,ITC,28-Jul-2022
27,2022-07-04,,42300.0,799.049372276373,834.3,IndusInd Bank Ltd - 28/07/2022,TB1,FUTURES,INDUSINDBK,28-Jul-2022
28,2022-07-04,,36900.0,1477.116191570105,1489.25,Infosys Ltd - 28/07/2022,TB1,FUTURES,INFY,28-Jul-2022
29,2022-07-04,,3000.0,1612.081895646,1650.6,InterGlobe Aviation Limited - 28/07/2022,TB1,FUTURES,INDIGO,28-Jul-2022
30,2022-07-04,,43200.0,550.842213525883,553.45,JSW Steel Ltd - 28/07/2022,TB1,FUTURES,AUBANK,29-Sep-2022
31,2022-07-04,,43200.0,550.842213525883,553.45,JSW Steel Ltd - 28/07/2022,TB1,FUTURES,JSWSTEEL,28-Jul-2022
32,2022-07-04,,73750.0,331.963957474576,332.8,Jindal Steel and Power Ltd - 28/07/2022,TB1,FUTURES,JINDALSTEL,28-Jul-2022
33,2022-07-04,,6200.0,3052.211929032581,2971.4,L&T Technology Services Ltd - 28/07/2022,TB1,FUTURES,LTTS,28-Jul-2022
34,2022-07-04,,14000.0,325.685953517143,338.3,LIC Housing Finance Ltd - 28/07/2022,TB1,FUTURES,LICHSGFIN,28-Jul-2022
35,2022-07-04,,2700.0,1539.640887143333,1560.35,Larsen and Toubro Ltd - 28/07/2022,TB1,FUTURES,LT,28-Jul-2022
36,2022-07-04,,30600.0,467.387021002059,471.35,Laurus Labs Limited - 28/07/2022,TB1,FUTURES,LAURUSLABS,28-Jul-2022
37,2022-07-04,,56000.0,172.40768904,176.25,Mahindra and Mahindra Financial Services Ltd - 28/07/2022,TB1,FUTURES,M&MFIN,28-Jul-2022
38,2022-07-04,,-224000.0,173.3082365125,176.25,Mahindra and Mahindra Financial Services Ltd - 28/07/2022,TB1,FUTURES,M&MFIN,28-Jul-2022
39,2022-07-04,,34300.0,1089.091541838027,1081.5,Mahindra and Mahindra Ltd - 28/07/2022,TB1,FUTURES,M&M,28-Jul-2022
40,2022-07-04,,108000.0,90.023459311667,91.4,Manappuram Finance Ltd - 28/07/2022,TB1,FUTURES,MANAPPURAM,28-Jul-2022
41,2022-07-04,,19200.0,479.3838795675,499.9,Marico Ltd - 28/07/2022,TB1,FUTURES,MARICO,28-Jul-2022
42,2022-07-04,,9600.0,2960.378902010625,2847.5,MindTree Limited - 28/07/2022,TB1,FUTURES,MINDTREE,28-Jul-2022
43,2022-07-04,,235200.0,268.644293926326,272.55,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED - 28/07/2022,TB1,FUTURES,NAM-INDIA,28-Jul-2022
44,2022-07-04,,134000.0,109.119866529,109.0,NMDC Ltd - 28/07/2022,TB1,FUTURES,NMDC,28-Jul-2022
45,2022-07-04,,307800.0,141.231737251052,142.05,NTPC Ltd - 28/07/2022,TB1,FUTURES,NTPC,28-Jul-2022
46,2022-07-04,,4350.0,15723.441391691344,15836.95,Nifty FNO SPOT - 28/07/2022,TB1,FUTURES,NIFTY,28-Jul-2022
47,2022-07-04,,-5450.0,15790.287388300532,15836.95,Nifty FNO SPOT - 28/07/2022,TB1,FUTURES,NIFTY,28-Jul-2022
48,2022-07-04,,250250.0,151.796000568923,126.25,Oil and Natural Gas Corporation Ltd - 28/07/2022,TB1,FUTURES,ONGC,28-Jul-2022
49,2022-07-04,,7650.0,3463.627019895294,3261.6,Persistent Systems Ltd - 28/07/2022,TB1,FUTURES,PERSISTENT,28-Jul-2022
50,2022-07-04,,218700.0,212.581085631852,211.7,Power Grid Corporation of India Ltd - 28/07/2022,TB1,FUTURES,POWERGRID,28-Jul-2022
51,2022-07-04,,19750.0,2587.850305062518,2420.1,Reliance Industries Ltd - 28/07/2022,TB1,FUTURES,RELIANCE,28-Jul-2022
52,2022-07-04,,12000.0,768.947626868,786.75,SBI Cards and Payment Services - 28/07/2022,TB1,FUTURES,SBICARD,28-Jul-2022
53,2022-07-04,,29250.0,1064.743639294616,1119.35,SBI Life Insurance Company Ltd - 28/07/2022,TB1,FUTURES,SBILIFE,28-Jul-2022
54,2022-07-04,,500.0,19181.3429497425,19075.3,Shree Cements - 28/07/2022,TB1,FUTURES,SHREECEM,28-Jul-2022
55,2022-07-04,,57400.0,833.583343406446,831.7,Sun Pharmaceuticals Industries Ltd - 28/07/2022,TB1,FUTURES,SUNPHARMA,28-Jul-2022
56,2022-07-04,,115425.0,418.601049726571,409.4,TATA Motors Right Issue - 28/07/2022,TB1,FUTURES,TATAMOTORS,28-Jul-2022
57,2022-07-04,,26000.0,796.406671999616,806.75,Tata Chemicals - 28/07/2022,TB1,FUTURES,TATACHEM,28-Jul-2022
58,2022-07-04,,16500.0,3282.746226647128,3234.25,Tata Consultancy Services Ltd. - 28/07/2022,TB1,FUTURES,TCS,28-Jul-2022
59,2022-07-04,,45000.0,733.253317024061,733.35,Tata Consumer Products Ltd - 28/07/2022,TB1,FUTURES,TATACONSUM,28-Jul-2022
60,2022-07-04,,51850.0,884.125214539706,858.1,Tata Steel Ltd - 28/07/2022,TB1,FUTURES,TATASTEEL,28-Jul-2022
61,2022-07-04,,40800.0,988.998652827273,973.4,Tech Mahindra Ltd - 28/07/2022,TB1,FUTURES,TECHM,28-Jul-2022
62,2022-07-04,,19125.0,1940.876075341451,1963.3,Titan Company Ltd - 28/07/2022,TB1,FUTURES,TITAN,28-Jul-2022
63,2022-07-04,,1500.0,2868.619601395,2910.9,Torrent Pharmaceuticals Ltd - 28/07/2022,TB1,FUTURES,TORNTPHARM,28-Jul-2022
64,2022-07-04,,7800.0,639.8660367525,645.8,UPL Ltd - 28/07/2022,TB1,FUTURES,UPL,28-Jul-2022
65,2022-07-04,,7700.0,5592.816972372105,5683.25,Ultratech Cement Ltd - 28/07/2022,TB1,FUTURES,ULTRACEMCO,28-Jul-2022
66,2022-07-04,,39375.0,750.890064167007,799.35,United Spirits Ltd - 28/07/2022,TB1,FUTURES,MCDOWELL-N,28-Jul-2022
67,2022-07-04,,86800.0,228.594123414643,217.15,Vedanta Ltd - 28/07/2022,TB1,FUTURES,VEDL,28-Jul-2022
68,2022-07-04,,-2750.0,1724.387579022,1724.8,ASTRAL LIMITED - 28/07/2022,TB1,FUTURES,ASTRAL,28-Jul-2022
69,2022-07-04,,-200.0,3010.77593309,3048.2,Alkem Laboratories Ltd - 28/07/2022,TB1,FUTURES,ALKEM,28-Jul-2022
70,2022-07-04,,-345000.0,145.024693174348,144.65,Ashok Leyland Ltd - 28/07/2022,TB1,FUTURES,ASHOKLEY,28-Jul-2022
71,2022-07-04,,-10800.0,636.045537105394,654.3,Axis Bank Ltd - 28/07/2022,TB1,FUTURES,AXISBANK,28-Jul-2022
72,2022-07-04,,-81900.0,356.93963176746,337.7,BIRLASOFT LIMITED NEW EQ RS. - 28/07/2022,TB1,FUTURES,BSOFT,28-Jul-2022
73,2022-07-04,,-250.0,11029.058678482,11438.65,Bajaj Finserv Limited - 28/07/2022,TB1,FUTURES,BAJAJFINSV,28-Jul-2022
74,2022-07-04,,-28800.0,267.534043500625,271.25,Bandhan Bank Ltd - 28/07/2022,TB1,FUTURES,BANDHANBNK,28-Jul-2022
75,2022-07-04,,-5550.0,3634.347079348919,3506.8,COFORGE LIMITED - 28/07/2022,TB1,FUTURES,COFORGE,28-Jul-2022
76,2022-07-04,,-13750.0,621.357441503636,654.45,Cholamandalam Investments and Finance Ltd - 28/07/2022,TB1,FUTURES,CHOLAFIN,28-Jul-2022
77,2022-07-04,,-110000.0,134.310332248182,138.8,City Union Bank - 28/07/2022,TB1,FUTURES,CUB,28-Jul-2022
78,2022-07-04,,-6300.0,1490.438334315,1528.2,Colgate Palmolive India Ltd - 28/07/2022,TB1,FUTURES,COLPAL,28-Jul-2022
79,2022-07-04,,-5500.0,3566.038409660682,3596.75,Dixon Technologies India Ltd - 28/07/2022,TB1,FUTURES,DIXON,28-Jul-2022
80,2022-07-04,,-250.0,4332.266263134321,4332.85,Dr. Reddys Laboratories Ltd - 28/07/2022,TB1,FUTURES,DRREDDY,28-Jul-2022
81,2022-07-04,,-350.0,2793.457749837059,2805.75,Eicher Motors Ltd - 28/07/2022,TB1,FUTURES,EICHERMOT,28-Jul-2022
82,2022-07-04,,-950.0,1328.292323205,1356.7,Grasim Industries Ltd - 28/07/2022,TB1,FUTURES,GRASIM,28-Jul-2022
83,2022-07-04,,-4900.0,989.346351136206,976.05,HCL Technologies Ltd - 28/07/2022,TB1,FUTURES,HCLTECH,28-Jul-2022
84,2022-07-04,,-33600.0,1778.020991750446,1875.3,HDFC Asset Management Company Ltd - 28/07/2022,TB1,FUTURES,HDFCAMC,28-Jul-2022
85,2022-07-04,,-34400.0,340.124501035012,341.0,Hindalco Industries Ltd - 28/07/2022,TB1,FUTURES,HINDALCO,28-Jul-2022
86,2022-07-04,,-27500.0,710.872512106,720.85,ICICI Bank Ltd - 28/07/2022,TB1,FUTURES,ICICIBANK,28-Jul-2022
87,2022-07-04,,-48000.0,97.6350981175,94.85,Indiabulls Housing Finance Ltd - 28/07/2022,TB1,FUTURES,IBULHSGFIN,28-Jul-2022
88,2022-07-04,,-20110.0,230.084339786,232.45,Indian Hotels Co. - 28/07/2022,TB1,FUTURES,INDHOTEL,28-Jul-2022
89,2022-07-04,,-28875.0,358.786411732381,364.65,Indraprastha Gas Ltd - 28/07/2022,TB1,FUTURES,IGL,28-Jul-2022
90,2022-07-04,,-4750.0,3685.838273516316,3824.05,Info Edge India Ltd - 28/07/2022,TB1,FUTURES,NAUKRI,28-Jul-2022
91,2022-07-04,,-7200.0,1657.532834800278,1678.5,Kotak Mahindra Bank Ltd - 28/07/2022,TB1,FUTURES,KOTAKBANK,28-Jul-2022
92,2022-07-04,,-350.0,69526.57674699342,71294.05,MRF Ltd - 28/07/2022,TB1,FUTURES,MRF,28-Jul-2022
93,2022-07-04,,-24000.0,764.629522984333,779.05,Mahanagar Gas Limited - 28/07/2022,TB1,FUTURES,MGL,28-Jul-2022
94,2022-07-04,,-31000.0,8505.958490209032,8478.5,Maruti Suzuki India Ltd - 28/07/2022,TB1,FUTURES,MARUTI,28-Jul-2022
95,2022-07-04,,-37700.0,785.315163530345,810.7,Max Financial Services Limited - 28/07/2022,TB1,FUTURES,MFSL,28-Jul-2022
96,2022-07-04,,-2100.0,2271.119129095,2190.35,MphasiS Limited  - 28/07/2022,TB1,FUTURES,MPHASIS,28-Jul-2022
97,2022-07-04,,-9000.0,1055.96777255375,1067.4,Muthoot Finance Limited - 28/07/2022,TB1,FUTURES,MUTHOOTFIN,28-Jul-2022
98,2022-07-04,,-5850.0,3627.378071996538,3686.5,Navin Fluorine International Ltd   - 28/07/2022,TB1,FUTURES,NAVINFLUOR,28-Jul-2022
99,2022-07-04,,-42700.0,745.607887102951,767.6,Oberoi Realty Ltd - 28/07/2022,TB1,FUTURES,OBEROIRLTY,28-Jul-2022
100,2022-07-04,,-4750.0,2090.711725121053,2199.7,Pidilite Industries Ltd - 28/07/2022,TB1,FUTURES,PIDILITIND,28-Jul-2022
101,2022-07-04,,-105000.0,462.709290148365,473.95,State Bank of India - 28/07/2022,TB1,FUTURES,SBIN,28-Jul-2022
102,2022-07-04,,-354000.0,69.331345254406,69.1,Steel Authority of India Ltd - 28/07/2022,TB1,FUTURES,SAIL,28-Jul-2022
103,2022-07-04,,-56100.0,623.124064710303,641.6,The Ramco Cements Limited - 28/07/2022,TB1,FUTURES,RAMCOCEM,28-Jul-2022
104,2022-07-04,,-4350.0,1076.948506415,1119.0,Trent Ltd - 28/07/2022,TB1,FUTURES,TRENT,28-Jul-2022
105,2022-07-04,,-22800.0,1442.506618727368,1552.15,United Breweries Ltd - 28/07/2022,TB1,FUTURES,UBL,28-Jul-2022
106,2022-07-04,,-6000.0,418.673033723333,421.95,Wipro Ltd - 28/07/2022,TB1,FUTURES,WIPRO,28-Jul-2022
