,report_date,unique_id,quantity,average_unit_cost,market_rate,symbol_name,fund_id,instrument_type_x,symbol_code,expiry_date,instrument_type_y,leven_score
0,2022-06-17,,1925.0,17939.710465013763,17915.15,Abbott India - 30/06/2022,TB1,FUTURES,ABBOTINDIA,30/06/2022,FUTURES,15.0
1,2022-06-17,,36250.0,680.335341603,670.0,Adani Ports and Special Economic Zone Ltd - 30/06/2022,TB1,FUTURES,ADANIPORTS,30/06/2022,FUTURES,44.0
2,2022-06-17,,7000.0,3441.710636305714,3704.0,Apollo Hospitals Enterprise - 30/06/2022,TB1,FUTURES,APOLLOHOSP,30/06/2022,FUTURES,30.0
3,2022-06-17,,52500.0,182.210507178571,174.3,Apollo Tyres - 30/06/2022,TB1,FUTURES,APOLLOTYRE,30/06/2022,FUTURES,15.0
4,2022-06-17,,30450.0,2741.200577216453,2588.45,Asian Paints Ltd - 30/06/2022,TB1,FUTURES,ASIANPAINT,30/06/2022,FUTURES,19.0
5,2022-06-17,,4000.0,3650.390925174375,3491.3,Bajaj Auto Ltd - 30/06/2022,TB1,FUTURES,BAJAJ-AUTO,30/06/2022,FUTURES,18.0
6,2022-06-17,,23750.0,5763.450866325235,5416.35,Bajaj Finance Ltd - 30/06/2022,TB1,FUTURES,BAJFINANCE,30/06/2022,FUTURES,20.0
7,2022-06-17,,29250.0,99.027945861172,95.4,Bank of Baroda - 30/06/2022,TB1,FUTURES,BANKBARODA,30/06/2022,FUTURES,17.0
8,2022-06-17,,161500.0,677.410799409529,645.55,Bharti Airtel Ltd - 30/06/2022,TB1,FUTURES,BHARTIARTL,30/06/2022,FUTURES,20.0
9,2022-06-17,,170200.0,325.496948948919,314.25,Biocon Ltd - 30/06/2022,TB1,FUTURES,BIOCON,30/06/2022,FUTURES,17.0
10,2022-06-17,,8200.0,3446.676060664197,3284.0,Britannia Industries Ltd - 30/06/2022,TB1,FUTURES,BRITANNIA,30/06/2022,FUTURES,28.0
11,2022-06-17,,5000.0,1985.8160634465,1845.75,Deepak Nitrite Ltd - 30/06/2022,TB1,FUTURES,DEEPAKNTR,30/06/2022,FUTURES,22.0
12,2022-06-17,,17200.0,3496.416361062427,3489.5,Divis Laboratories Ltd - 30/06/2022,TB1,FUTURES,DIVISLAB,30/06/2022,FUTURES,27.0
13,2022-06-17,,4900.0,2650.743217875,2609.8,Eicher Motors Ltd - 30/06/2022,TB1,FUTURES,EICHERMOT,30/06/2022,FUTURES,21.0
14,2022-06-17,,13000.0,743.846635618847,727.75,Godrej Consumer Products Ltd - 30/06/2022,TB1,FUTURES,GODREJCP,30/06/2022,FUTURES,33.0
15,2022-06-17,,18200.0,1347.8476113225,1188.55,Godrej Properties Ltd - 30/06/2022,TB1,FUTURES,GODREJPROP,30/06/2022,FUTURES,24.0
16,2022-06-17,,112200.0,258.298640817728,219.25,Gujarat State Petronet Ltd - 30/06/2022,TB1,FUTURES,GSPL,30/06/2022,FUTURES,35.0
17,2022-06-17,,271700.0,1349.436417921559,1290.7,HDFC Bank Ltd - 30/06/2022,TB1,FUTURES,HDFCBANK,30/06/2022,FUTURES,18.0
18,2022-06-17,,63800.0,587.917004709025,551.95,HDFC Life Insurance Company Limited - 30/06/2022,TB1,FUTURES,HDFCLIFE,30/06/2022,FUTURES,40.0
19,2022-06-17,,4750.0,1863.73311879,1836.55,Hindustan Aeronautics Limited - 30/06/2022,TB1,FUTURES,HAL,30/06/2022,FUTURES,39.0
20,2022-06-17,,297000.0,232.799473302546,209.75,Hindustan Petroleum Corporation Ltd - 30/06/2022,TB1,FUTURES,HINDPETRO,30/06/2022,FUTURES,39.0
21,2022-06-17,,40500.0,2271.62822612539,2116.45,Hindustan Unilever Ltd - 30/06/2022,TB1,FUTURES,HINDUNILVR,30/06/2022,FUTURES,25.0
22,2022-06-17,,10800.0,2266.391354324167,2058.2,Housing Development Finance Corp Ltd - 30/06/2022,TB1,FUTURES,HDFC,30/06/2022,FUTURES,45.0
23,2022-06-17,,27625.0,1219.069752701538,1116.15,ICICI Lombard General Insurance Company Ltd - 30/06/2022,TB1,FUTURES,ICICIGI,30/06/2022,FUTURES,49.0
24,2022-06-17,,266400.0,36.44954224375,31.7,IDFC First Bank Ltd - 30/06/2022,TB1,FUTURES,IDFCFIRSTB,30/06/2022,FUTURES,22.0
25,2022-06-17,,588800.0,265.44702201671,263.4,ITC Ltd - 30/06/2022,TB1,FUTURES,ITC,30/06/2022,FUTURES,17.0
26,2022-06-17,,45000.0,885.8405067246,807.95,IndusInd Bank Ltd - 30/06/2022,TB1,FUTURES,INDUSINDBK,30/06/2022,FUTURES,20.0
27,2022-06-17,,105900.0,1416.287101264675,1390.7,Infosys Ltd - 30/06/2022,TB1,FUTURES,INFY,30/06/2022,FUTURES,20.0
28,2022-06-17,,8050.0,1545.590358827142,1493.2,Larsen and Toubro Ltd - 30/06/2022,TB1,FUTURES,LT,30/06/2022,FUTURES,32.0
29,2022-06-17,,28000.0,950.513270630861,994.55,Mahindra and Mahindra Ltd - 30/06/2022,TB1,FUTURES,M&M,30/06/2022,FUTURES,36.0
30,2022-06-17,,9600.0,2962.434722862812,2788.5,MindTree Limited - 30/06/2022,TB1,FUTURES,MINDTREE,30/06/2022,FUTURES,21.0
31,2022-06-17,,219200.0,270.816822417153,270.1,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED - 30/06/2022,TB1,FUTURES,NAM-INDIA,30/06/2022,FUTURES,49.0
32,2022-06-17,,324900.0,151.059368526315,140.85,NTPC Ltd - 30/06/2022,TB1,FUTURES,NTPC,30/06/2022,FUTURES,17.0
33,2022-06-17,,246400.0,148.451151876094,142.0,Oil and Natural Gas Corporation Ltd - 30/06/2022,TB1,FUTURES,ONGC,30/06/2022,FUTURES,44.0
34,2022-06-17,,1500.0,3199.802704836,3196.45,Persistent Systems Ltd - 30/06/2022,TB1,FUTURES,PERSISTENT,30/06/2022,FUTURES,25.0
35,2022-06-17,,53330.0,224.950941455454,212.05,Power Grid Corporation of India Ltd - 30/06/2022,TB1,FUTURES,POWERGRID,30/06/2022,FUTURES,39.0
36,2022-06-17,,34750.0,2554.907828699352,2591.95,Reliance Industries Ltd - 30/06/2022,TB1,FUTURES,RELIANCE,30/06/2022,FUTURES,28.0
37,2022-06-17,,12500.0,777.6166801572,688.0,SBI Cards and Payment Services - 30/06/2022,TB1,FUTURES,SBICARD,30/06/2022,FUTURES,36.0
38,2022-06-17,,30000.0,1086.790776399231,1085.55,SBI Life Insurance Company Ltd - 30/06/2022,TB1,FUTURES,SBILIFE,30/06/2022,FUTURES,36.0
39,2022-06-17,,1475.0,18372.64168057176,18106.65,Shree Cements - 30/06/2022,TB1,FUTURES,SHREECEM,30/06/2022,FUTURES,18.0
40,2022-06-17,,16400.0,1168.380156211464,1137.2,Shriram Transport Finance Co Ltd - 30/06/2022,TB1,FUTURES,SRTRANSFIN,30/06/2022,FUTURES,35.0
41,2022-06-17,,40600.0,894.26720036531,795.8,Sun Pharmaceuticals Industries Ltd - 30/06/2022,TB1,FUTURES,SUNPHARMA,30/06/2022,FUTURES,38.0
42,2022-06-17,,45900.0,537.405448695556,537.1,Syngene International Ltd -IPO  - 30/06/2022,TB1,FUTURES,SYNGENE,30/06/2022,FUTURES,37.0
43,2022-06-17,,216600.0,409.988109432715,390.1,TATA Motors Right Issue - 30/06/2022,TB1,FUTURES,TATAMOTORS,30/06/2022,FUTURES,26.0
44,2022-06-17,,88425.0,703.569265988572,713.55,Tata Consumer Products Ltd - 30/06/2022,TB1,FUTURES,TATACONSUM,30/06/2022,FUTURES,29.0
45,2022-06-17,,124525.0,981.212019490034,907.2,Tata Steel Ltd - 30/06/2022,TB1,FUTURES,TATASTEEL,30/06/2022,FUTURES,18.0
46,2022-06-17,,78000.0,1111.048463138914,967.3,Tech Mahindra Ltd - 30/06/2022,TB1,FUTURES,TECHM,30/06/2022,FUTURES,25.0
47,2022-06-17,,21000.0,2087.041292176071,1942.35,Titan Company Ltd - 30/06/2022,TB1,FUTURES,TITAN,30/06/2022,FUTURES,25.0
48,2022-06-17,,90000.0,434.2602004745,462.6,Torrent Power Ltd - 30/06/2022,TB1,FUTURES,TORNTPOWER,30/06/2022,FUTURES,20.0
49,2022-06-17,,10400.0,737.28288135,665.7,UPL Ltd - 30/06/2022,TB1,FUTURES,UPL,30/06/2022,FUTURES,17.0
50,2022-06-17,,8100.0,5908.771490801353,5190.95,Ultratech Cement Ltd - 30/06/2022,TB1,FUTURES,ULTRACEMCO,30/06/2022,FUTURES,25.0
51,2022-06-17,,32500.0,747.416987157115,732.7,United Spirits Ltd - 30/06/2022,TB1,FUTURES,MCDOWELL-N,30/06/2022,FUTURES,28.0
52,2022-06-17,,-32900.0,734.848943547872,721.15,Alembic Pharmaceuticals Ltd - 30/06/2022,TB1,FUTURES,APLLTD,30/06/2022,FUTURES,34.0
53,2022-06-17,,-11000.0,3102.267318710182,3080.25,Alkem Laboratories Ltd - 30/06/2022,TB1,FUTURES,ALKEM,30/06/2022,FUTURES,30.0
54,2022-06-17,,-216000.0,139.363238246667,131.9,Ashok Leyland Ltd - 30/06/2022,TB1,FUTURES,ASHOKLEY,30/06/2022,FUTURES,22.0
55,2022-06-17,,-74400.0,671.377669749535,635.95,Axis Bank Ltd - 30/06/2022,TB1,FUTURES,AXISBANK,30/06/2022,FUTURES,18.0
56,2022-06-17,,-81900.0,360.760966331746,331.7,BIRLASOFT LIMITED NEW EQ RS. - 30/06/2022,TB1,FUTURES,BSOFT,30/06/2022,FUTURES,36.0
57,2022-06-17,,-1700.0,12163.80076314,11772.25,Bajaj Finserv Limited - 30/06/2022,TB1,FUTURES,BAJAJFINSV,30/06/2022,FUTURES,24.0
58,2022-06-17,,-28800.0,328.59191644,310.8,Bandhan Bank Ltd - 30/06/2022,TB1,FUTURES,BANDHANBNK,30/06/2022,FUTURES,19.0
59,2022-06-17,,-38000.0,238.734126996,235.5,Bharat Electronics Ltd - 30/06/2022,TB1,FUTURES,BEL,30/06/2022,FUTURES,32.0
60,2022-06-17,,-13750.0,668.710822036364,635.15,Cholamandalam Investments and Finance Ltd - 30/06/2022,TB1,FUTURES,CHOLAFIN,30/06/2022,FUTURES,46.0
61,2022-06-17,,-1950.0,962.87631266,917.5,Cipla Ltd - 30/06/2022,TB1,FUTURES,CIPLA,30/06/2022,FUTURES,17.0
62,2022-06-17,,-12600.0,193.499406464167,181.7,Coal India Ltd - 30/06/2022,TB1,FUTURES,COALINDIA,30/06/2022,FUTURES,18.0
63,2022-06-17,,-6300.0,1515.773822157778,1483.05,Colgate Palmolive India Ltd - 30/06/2022,TB1,FUTURES,COLPAL,30/06/2022,FUTURES,34.0
64,2022-06-17,,-10000.0,949.073527216875,921.95,Coromandel International Ltd NCD - 30/06/2022,TB1,FUTURES,COROMANDEL,30/06/2022,FUTURES,35.0
65,2022-06-17,,-13000.0,4320.655132979011,4142.45,Dr. Reddys Laboratories Ltd - 30/06/2022,TB1,FUTURES,DRREDDY,30/06/2022,FUTURES,33.0
66,2022-06-17,,-27550.0,1367.294811996034,1293.7,Grasim Industries Ltd - 30/06/2022,TB1,FUTURES,GRASIM,30/06/2022,FUTURES,28.0
67,2022-06-17,,-49000.0,1025.774084018079,961.25,HCL Technologies Ltd - 30/06/2022,TB1,FUTURES,HCLTECH,30/06/2022,FUTURES,26.0
68,2022-06-17,,-33600.0,1757.22165223631,1771.15,HDFC Asset Management Company Ltd - 30/06/2022,TB1,FUTURES,HDFCAMC,30/06/2022,FUTURES,39.0
69,2022-06-17,,-2400.0,2590.73626632,2475.55,Hero MotoCorp Limited - 30/06/2022,TB1,FUTURES,HEROMOTOCO,30/06/2022,FUTURES,24.0
70,2022-06-17,,-536425.0,398.980434678207,334.0,Hindalco Industries Ltd - 30/06/2022,TB1,FUTURES,HINDALCO,30/06/2022,FUTURES,28.0
72,2022-06-17,,-198000.0,720.858308116042,688.1,ICICI Bank Ltd - 30/06/2022,TB1,FUTURES,ICICIBANK,30/06/2022,FUTURES,18.0
73,2022-06-17,,-2100.0,4404.984491858571,3865.05,IndiaMART InterMESH Ltd - 30/06/2022,TB1,FUTURES,INDIAMART,30/06/2022,FUTURES,27.0
74,2022-06-17,,-331500.0,116.146614819517,104.55,Indian Oil Corporation - 30/06/2022,TB1,FUTURES,IOC,30/06/2022,FUTURES,32.0
75,2022-06-17,,-45900.0,565.080668809321,556.35,JSW Steel Ltd - 30/06/2022,TB1,FUTURES,JSWSTEEL,30/06/2022,FUTURES,18.0
76,2022-06-17,,-118400.0,1898.597887937567,1674.8,Kotak Mahindra Bank Ltd - 30/06/2022,TB1,FUTURES,KOTAKBANK,30/06/2022,FUTURES,27.0
77,2022-06-17,,-140.0,68668.65713804928,67283.85,MRF Ltd - 30/06/2022,TB1,FUTURES,MRF,30/06/2022,FUTURES,17.0
78,2022-06-17,,-39000.0,736.544188259538,699.15,Mahanagar Gas Limited - 30/06/2022,TB1,FUTURES,MGL,30/06/2022,FUTURES,31.0
80,2022-06-17,,-248000.0,175.766643776129,171.45,Mahindra and Mahindra Financial Services Ltd - 30/06/2022,TB1,FUTURES,M&MFIN,30/06/2022,FUTURES,52.0
81,2022-06-17,,-30400.0,7691.752883487369,7706.15,Maruti Suzuki India Ltd - 30/06/2022,TB1,FUTURES,MARUTI,30/06/2022,FUTURES,30.0
82,2022-06-17,,-40950.0,810.395143154127,778.15,Max Financial Services Limited - 30/06/2022,TB1,FUTURES,MFSL,30/06/2022,FUTURES,39.0
83,2022-06-17,,-2100.0,2202.599981374167,2201.0,MphasiS Limited  - 30/06/2022,TB1,FUTURES,MPHASIS,30/06/2022,FUTURES,22.0
84,2022-06-17,,-25.0,17526.193845024853,16680.45,Nestle India Ltd - 30/06/2022,TB1,FUTURES,NESTLEIND,30/06/2022,FUTURES,20.0
85,2022-06-17,,-7450.0,15352.44115044402,15319.25,Nifty FNO SPOT - 30/06/2022,TB1,FUTURES,NIFTY,30/06/2022,FUTURES,22.0
86,2022-06-17,,-30800.0,786.559059262046,759.65,Oberoi Realty Ltd - 30/06/2022,TB1,FUTURES,OBEROIRLTY,30/06/2022,FUTURES,20.0
87,2022-06-17,,-32000.0,30.456750745516,28.55,Punjab National Bank - 30/06/2022,TB1,FUTURES,PNB,30/06/2022,FUTURES,30.0
88,2022-06-17,,-90000.0,453.728837996,442.25,State Bank of India - 30/06/2022,TB1,FUTURES,SBIN,30/06/2022,FUTURES,28.0
89,2022-06-17,,-4800.0,3341.372309147652,3097.15,Tata Consultancy Services Ltd. - 30/06/2022,TB1,FUTURES,TCS,30/06/2022,FUTURES,40.0
90,2022-06-17,,-16150.0,611.511272242106,579.4,The Ramco Cements Limited - 30/06/2022,TB1,FUTURES,RAMCOCEM,30/06/2022,FUTURES,30.0
91,2022-06-17,,-16450.0,1454.167418090851,1446.45,United Breweries Ltd - 30/06/2022,TB1,FUTURES,UBL,30/06/2022,FUTURES,30.0
92,2022-06-17,,-47200.0,447.23899765,406.65,Wipro Ltd - 30/06/2022,TB1,FUTURES,WIPRO,30/06/2022,FUTURES,17.0
